response
উত্তর হল 5600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
উত্তর হল 4.<
উত্তর হল 40000.<
উত্তর হল 180.<
উত্তর হল 30।<
উত্তর হল 288.<
উত্তর হল 80.<
উত্তর হল 160.<
উত্তর হল 1500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
উত্তর হল 960।<
উত্তর হল 144।<
উত্তর হল 1948.<
উত্তর হল 6।<
উত্তর হল 10.<
উত্তর হল 55.<
উত্তর হল 4760।<
"উত্তর হল

1.<"
উত্তর হল 42000।<
উত্তর হল 120.<
উত্তর হল 8.<
উত্তর হল 6.<
উত্তর হল 18।<
উত্তর হল 10।<
উত্তর হল 4.<
উত্তর হল 16.<
উত্তর হল 1।<
উত্তর হল 97.<
উত্তর হল 2880।<
উত্তর হল 30.<
উত্তর হল 175.<
উত্তর হল 95.<
উত্তর হল 136.<
উত্তর হল 40।<
উত্তর হল 80.<
উত্তর হল 18.<
উত্তর হল 160।<
উত্তর হল 60.<
উত্তর হল 14.<
উত্তর হল 2400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
উত্তর হল 18.<
উত্তর হল 3.<
উত্তর হল 2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
উত্তর হল 14.<
উত্তর হল 600.<
উত্তর হল 4000.<
"উত্তর হল

1.<"
উত্তর হল 140।<
উত্তর হল 80000।<
উত্তর হল 12.<
উত্তর হল 60।<
উত্তর হল 3600।<
উত্তর হল 36।<
উত্তর হল 15.<
"উত্তর হল

1.<"
উত্তর হল 30.<
উত্তর হল 15.<
উত্তর হল 6.<
উত্তর হল 4896.<
উত্তর হল 19.<
উত্তর হল 130.<
উত্তর হল 18.<
উত্তর হল 2600।<
উত্তর হল 17.<
উত্তর হল 280.<
উত্তর হল 83.<
উত্তর হল 168000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
উত্তর হল 40।<
উত্তর হল 240।<
উত্তর হল 12.<
উত্তর হল 60.<
উত্তর হল 72000।<
উত্তর হল 40.<
"উত্তর হল

1.<"
উত্তর হল 69.<
উত্তর হল 306.<
উত্তর হল 8.<
উত্তর হল 5।<
উত্তর হল 12.<
উত্তর হল 4200।<
উত্তর হল 30।<
উত্তর হল 36.<
উত্তর হল 5.<
উত্তর হল 160.<
